id	ENSG00000222041	ENSG00000227372	ENSG00000232533	ENSG00000256802
TCGA-HT-8114	0.376594738	0.964291265	5.267190037	0.031986984
TCGA-HT-8558	0.838983262	4.039552875	3.73709685	0.314592732
TCGA-HT-8563	0.821184315	1.992589029	7.85255997	0.21033476
TCGA-HT-8564	1.166758521	7.39205547	6.058382373	0.587492968
TCGA-HT-A4DS	7.412790508	7.491522677	22.56072682	1.066685953
TCGA-HT-A4DV	0.442751732	4.852069229	3.536501362	0.099734634
TCGA-HT-A5R5	0.591094244	0.860816392	8.898397842	0.310253624
TCGA-HT-A5R7	0.827475661	2.908658523	4.026203174	0.194536725
TCGA-HT-A5R9	0.303702538	0.664660434	3.808709042	0.165449196
TCGA-HT-A5RA	5.420312112	7.929116761	15.29096182	0.41237005
TCGA-HT-A5RB	0.390824928	1.120173095	1.694554998	0.115867856
TCGA-HT-A614	0.434008596	2.682849749	3.726686171	0.070739758
TCGA-HT-A615	0.292113511	1.524897337	2.861600967	0.135098005
TCGA-HT-A616	0.8389284	1.837496874	4.36631708	0.303624344
TCGA-HT-A617	1.479178138	3.64137125	11.85226793	0.530232325
TCGA-HT-A618	0.799079432	1.478917174	5.700998776	0.13208573
TCGA-HT-A619	0.48232889	0.412559257	4.972979822	0.053138048
TCGA-HT-A61B	1.078248341	1.051887828	12.90401451	0.437328352
TCGA-HT-A61C	10.23663965	7.159248757	29.21297686	1.025059963
TCGA-HT-A74H	0.877276168	5.375194023	9.990090832	1.051472733
TCGA-HT-A74J	0.387968379	1.249507665	2.9296155	0.145147071
TCGA-HT-A74K	5.83993586	1.092015509	11.84702823	0.11419844
TCGA-HT-A74L	0.17989924	0.662460715	3.853378055	0.194786957
TCGA-HT-A74O	0.796181738	1.002021961	12.26429005	0.296700392
TCGA-HW-7486	0.165498588	3.596043781	3.971966229	0.104144405
TCGA-HW-7487	0.626381267	2.338704643	3.530748976	0.192455088
TCGA-HW-7489	0.672901909	2.072844644	3.962973453	0.270244694
TCGA-HW-7490	0.61858127	0.709181618	4.364129339	0.008407248
TCGA-HW-7491	0.384160485	0.535458172	4.595057799	0.032234827
TCGA-HW-7493	0.689254778	0.928380607	4.183458463	0.165754202
TCGA-HW-7495	0.361550666	2.451834469	3.248110222	0.123369389
TCGA-HW-8319	0.322733002	1.141259679	2.971874947	0.335585271
TCGA-HW-8320	0.204228656	0.547128624	2.650498822	0.009082739
TCGA-HW-8321	0.485269758	1.60596811	4.88608202	0.080255704
TCGA-HW-8322	0.294983823	0.730959196	2.737716335	0.144475815
TCGA-HW-A5KJ	0.54302317	0.639026345	8.653202658	0.03058504
TCGA-HW-A5KK	1.290781205	6.667584456	6.504161379	0.223260207
TCGA-HW-A5KL	0.114308647	0.94422779	1.743559007	0.068742273
TCGA-HW-A5KM	0.783883218	1.0837496	3.926010681	0.013236783
TCGA-IK-8125	0.81854285	1.124753682	3.38768141	0.139347184
TCGA-KT-A74X	0.3594316	0.587749424	5.431533637	0.109465589
TCGA-KT-A7W1	5.234828216	7.61033037	11.35088826	0.466974781
TCGA-P5-A5EV	0.167895669	0.615719011	3.888665942	0.106046157
TCGA-P5-A5EW	0.117268789	0.648126598	2.353289865	0.090132314
TCGA-P5-A5EX	1.689673988	0.81964344	5.982934021	0.171615949
TCGA-P5-A5EY	1.22123014	3.345049086	2.523474928	0.231981917
TCGA-P5-A5EZ	0.300178683	2.117144683	3.35532676	0.023958476
TCGA-P5-A5F0	0.630271703	1.893420029	6.031822447	0.33605742
TCGA-P5-A5F1	0.444306919	0.610266646	6.465441727	0.120541661
TCGA-P5-A5F2	0.41045036	1.050958868	5.008878045	0.074256735
TCGA-P5-A5F4	0.970326176	1.929485112	4.08032434	0.27855139
TCGA-P5-A5F6	0.608763717	8.096625723	4.79122049	0.221323102
TCGA-P5-A72U	2.41049522	5.485717147	10.54533074	0.280171983
TCGA-P5-A72W	0.296519968	0.609324651	11.07108063	0.129202751
TCGA-P5-A72X	0.300500269	1.588749381	4.018436003	0.162526615
